Kategori,Harga,LT,LB,Sertifikat
Kost,2515800000,485,114,Hak Guna Bangunan (HGB)
Gedung,1654800000,121,76,Lainnya
Rumah,2599200000,433,289,Lainnya
Gedung,5510400000,448,208,Hak Milik (HM)
Ruko,2505600000,287,235,Lainnya
Apartemen,576000000,0,96,Hak Milik (HM)
Apartemen,564000000,0,94,Hak Milik (HM)
Kost,802200000,122,69,Hak Guna Bangunan (HGB)
Gedung,1932000000,156,74,Hak Guna Bangunan (HGB)
Kost,2003400000,252,225,Hak Guna Bangunan (HGB)
Ruko,2212800000,370,91,Hak Milik (HM)
Gedung,1428000000,107,63,Lainnya
Rumah,2667600000,420,321,Hak Guna Bangunan (HGB)
Apartemen,1050000000,0,175,Hak Guna Bangunan (HGB)
Kost,600600000,99,44,Lainnya
Rumah,1976400000,283,266,Hak Milik (HM)
Rumah,3211200000,464,428,Hak Guna Bangunan (HGB)
Gedung,1663200000,106,92,Lainnya
Kost,3066000000,470,260,Lainnya
Ruko,1252800000,213,48,Lainnya
Ruko,2044800000,330,96,Hak Milik (HM)
Apartemen,684000000,0,114,Hak Milik (HM)
Kost,1386000000,175,155,Hak Guna Bangunan (HGB)
Gedung,1293600000,80,74,Lainnya
Kost,1499400000,232,125,Hak Milik (HM)
Apartemen,1194000000,0,199,Hak Guna Bangunan (HGB)
Gedung,898800000,73,34,Hak Milik (HM)
Rumah,1234800000,208,135,Lainnya
Gedung,3679200000,278,160,Hak Guna Bangunan (HGB)
Ruko,681600000,112,30,Hak Milik (HM)
Gedung,4536000000,321,219,Lainnya
Gedung,848400000,55,46,Lainnya
Rumah,1785600000,365,131,Lainnya
Ruko,3475200000,383,341,Lainnya
Gedung,2688000000,167,153,Lainnya
Apartemen,768000000,0,128,Hak Guna Bangunan (HGB)
Rumah,2703600000,388,363,Hak Guna Bangunan (HGB)
Gedung,6501600000,472,302,Hak Milik (HM)
Kost,1911000000,414,41,Hak Milik (HM)
Ruko,1046400000,157,61,Hak Milik (HM)
Gedung,4729200000,302,261,Hak Milik (HM)
Gedung,3805200000,308,145,Lainnya
Ruko,2505600000,382,140,Hak Milik (HM)
Gedung,4006800000,255,222,Hak Milik (HM)
Apartemen,192000000,0,32,Lainnya
Kost,1050000000,190,60,Lainnya
Ruko,2659200000,418,136,Hak Guna Bangunan (HGB)
Apartemen,348000000,0,58,Lainnya
Ruko,2966400000,319,299,Lainnya
Rumah,604800000,84,84,Hak Milik (HM)
Gedung,1654800000,147,50,Lainnya
Rumah,367200000,58,44,Lainnya
Apartemen,378000000,0,63,Lainnya
Gedung,1722000000,139,66,Hak Guna Bangunan (HGB)
Kost,680400000,106,56,Hak Guna Bangunan (HGB)
Gedung,4250400000,388,118,Hak Milik (HM)
Apartemen,192000000,0,32,Lainnya
Apartemen,228000000,0,38,Hak Guna Bangunan (HGB)
Apartemen,630000000,0,105,Hak Milik (HM)
Kost,1071000000,153,102,Hak Guna Bangunan (HGB)
Apartemen,960000000,0,160,Lainnya
Gedung,5636400000,344,327,Hak Guna Bangunan (HGB)
Apartemen,570000000,0,95,Hak Guna Bangunan (HGB)
Apartemen,768000000,0,128,Hak Milik (HM)
Ruko,3825600000,425,372,Lainnya
Kost,1234800000,183,111,Hak Milik (HM)
Rumah,1414800000,281,112,Lainnya
Apartemen,432000000,0,72,Lainnya
Apartemen,204000000,0,34,Hak Guna Bangunan (HGB)
Rumah,2131200000,337,255,Hak Milik (HM)
Gedung,6350400000,466,290,Hak Milik (HM)
Rumah,2707200000,423,329,Lainnya
Gedung,2150400000,192,64,Lainnya
Kost,1058400000,207,45,Hak Guna Bangunan (HGB)
Ruko,2865600000,479,118,Lainnya
Rumah,349200000,56,41,Hak Guna Bangunan (HGB)
Ruko,2088000000,330,105,Lainnya
Ruko,3873600000,417,390,Hak Guna Bangunan (HGB)
Ruko,4291200000,465,429,Hak Guna Bangunan (HGB)
Gedung,7442400000,487,399,Lainnya
Rumah,2476800000,397,291,Hak Milik (HM)
Apartemen,426000000,0,71,Hak Guna Bangunan (HGB)
Kost,3452400000,425,397,Lainnya
Kost,2415000000,454,121,Hak Milik (HM)
Kost,2137800000,409,100,Hak Guna Bangunan (HGB)
Ruko,960000000,149,51,Lainnya
Ruko,2688000000,288,272,Hak Milik (HM)
Apartemen,834000000,0,139,Hak Milik (HM)
Ruko,2822400000,383,205,Hak Milik (HM)
Kost,3418800000,408,406,Hak Milik (HM)
Ruko,1353600000,244,38,Hak Guna Bangunan (HGB)
Kost,1024800000,186,58,Hak Guna Bangunan (HGB)
Kost,1201200000,209,77,Lainnya
Gedung,2368800000,189,93,Hak Guna Bangunan (HGB)
Apartemen,732000000,0,122,Hak Milik (HM)
Gedung,4460400000,269,262,Hak Guna Bangunan (HGB)
Apartemen,390000000,0,65,Hak Guna Bangunan (HGB)
Apartemen,1128000000,0,188,Lainnya
Ruko,633600000,98,34,Hak Milik (HM)
Kost,2864400000,474,208,Lainnya
Ruko,3201600000,367,300,Hak Guna Bangunan (HGB)
Kost,1407000000,206,129,Lainnya
Rumah,2635200000,436,296,Hak Guna Bangunan (HGB)
Rumah,1915200000,343,189,Hak Milik (HM)
Rumah,2167200000,418,184,Hak Guna Bangunan (HGB)
Kost,1948800000,423,41,Hak Milik (HM)
Kost,739200000,92,84,Hak Milik (HM)
Apartemen,1050000000,0,175,Hak Guna Bangunan (HGB)
Rumah,2444400000,391,288,Hak Guna Bangunan (HGB)
Apartemen,846000000,0,141,Hak Guna Bangunan (HGB)
Rumah,1404000000,239,151,Hak Guna Bangunan (HGB)
Rumah,669600000,105,81,Hak Milik (HM)
Apartemen,480000000,0,80,Hak Milik (HM)
Kost,819000000,122,73,Hak Milik (HM)
Gedung,5266800000,403,224,Hak Guna Bangunan (HGB)
Ruko,1257600000,206,56,Hak Milik (HM)
Kost,2772000000,436,224,Hak Guna Bangunan (HGB)
Apartemen,606000000,0,101,Lainnya
Gedung,2133600000,216,38,Hak Guna Bangunan (HGB)
Rumah,1015200000,214,68,Lainnya
Rumah,799200000,130,92,Hak Milik (HM)
Kost,2263800000,352,187,Hak Guna Bangunan (HGB)
Gedung,3637200000,260,173,Hak Guna Bangunan (HGB)
Gedung,6829200000,407,406,Hak Milik (HM)
Kost,1092000000,140,120,Hak Guna Bangunan (HGB)
Ruko,1953600000,323,84,Lainnya
Gedung,3494400000,275,141,Hak Guna Bangunan (HGB)
Kost,953400000,189,38,Hak Guna Bangunan (HGB)
Kost,1247400000,204,93,Hak Guna Bangunan (HGB)
Ruko,1905600000,208,189,Lainnya
Apartemen,1056000000,0,176,Lainnya
Rumah,662400000,119,65,Hak Milik (HM)
Apartemen,198000000,0,33,Hak Guna Bangunan (HGB)
Apartemen,450000000,0,75,Hak Milik (HM)
Rumah,2181600000,320,286,Hak Milik (HM)
Apartemen,246000000,0,41,Hak Milik (HM)
Ruko,921600000,126,66,Hak Milik (HM)
Kost,1873200000,234,212,Lainnya
Apartemen,204000000,0,34,Hak Milik (HM)
Apartemen,948000000,0,158,Hak Milik (HM)
Rumah,1677600000,394,72,Hak Milik (HM)
Gedung,2923200000,196,152,Hak Milik (HM)
Rumah,1389600000,238,148,Hak Guna Bangunan (HGB)
Ruko,3955200000,475,349,Hak Guna Bangunan (HGB)
Apartemen,264000000,0,44,Hak Milik (HM)
Ruko,1300800000,162,109,Hak Milik (HM)
Rumah,3315600000,482,439,Lainnya
Apartemen,822000000,0,137,Hak Milik (HM)
Apartemen,540000000,0,90,Hak Guna Bangunan (HGB)
Gedung,2352000000,217,63,Hak Guna Bangunan (HGB)
Gedung,3847200000,366,92,Hak Milik (HM)
Rumah,2484000000,470,220,Hak Milik (HM)
Rumah,2894400000,457,347,Hak Guna Bangunan (HGB)
Kost,877800000,149,60,Lainnya
Kost,3087000000,373,362,Hak Milik (HM)
Ruko,1617600000,242,95,Hak Milik (HM)
Kost,1482600000,279,74,Hak Guna Bangunan (HGB)
Gedung,2352000000,229,51,Hak Guna Bangunan (HGB)
Kost,978600000,136,97,Hak Guna Bangunan (HGB)
Apartemen,756000000,0,126,Hak Guna Bangunan (HGB)
Kost,2935800000,446,253,Hak Milik (HM)
Ruko,2601600000,304,238,Hak Guna Bangunan (HGB)
Kost,1915200000,305,151,Lainnya
Gedung,2503200000,170,128,Hak Guna Bangunan (HGB)
Apartemen,690000000,0,115,Lainnya
Kost,730800000,115,59,Lainnya
Apartemen,504000000,0,84,Hak Guna Bangunan (HGB)
Rumah,363600000,55,46,Lainnya
Gedung,4334400000,298,218,Hak Milik (HM)
Ruko,1843200000,350,34,Lainnya
Kost,898800000,128,86,Hak Milik (HM)
Gedung,2822400000,176,160,Hak Guna Bangunan (HGB)
Kost,1768200000,315,106,Hak Milik (HM)
Ruko,964800000,124,77,Lainnya
Apartemen,666000000,0,111,Hak Guna Bangunan (HGB)
Ruko,3235200000,431,243,Lainnya
Gedung,2368800000,164,118,Hak Milik (HM)
Kost,2545200000,406,200,Lainnya
Gedung,2797200000,249,84,Lainnya
Apartemen,978000000,0,163,Lainnya
Rumah,774000000,160,55,Hak Guna Bangunan (HGB)
Ruko,1320000000,154,121,Hak Guna Bangunan (HGB)
Gedung,6820800000,423,389,Lainnya
Gedung,4796400000,338,233,Hak Guna Bangunan (HGB)
Rumah,2174400000,334,270,Lainnya
Kost,1776600000,238,185,Hak Milik (HM)
Rumah,2084400000,424,155,Lainnya
Kost,1478400000,251,101,Hak Milik (HM)
Ruko,2961600000,352,265,Hak Guna Bangunan (HGB)
Gedung,5644800000,452,220,Hak Milik (HM)
Apartemen,492000000,0,82,Hak Milik (HM)
Apartemen,600000000,0,100,Lainnya
Rumah,1299600000,239,122,Lainnya
Gedung,2032800000,169,73,Lainnya
Kost,1894200000,370,81,Lainnya
Apartemen,192000000,0,32,Hak Guna Bangunan (HGB)
Apartemen,672000000,0,112,Hak Milik (HM)
Ruko,2755200000,299,275,Lainnya
Gedung,3318000000,204,191,Hak Milik (HM)
Kost,2851800000,483,196,Hak Milik (HM)
Rumah,705600000,99,97,Hak Milik (HM)
Rumah,1810800000,289,214,Lainnya
Apartemen,450000000,0,75,Hak Guna Bangunan (HGB)
Ruko,2112000000,234,206,Lainnya
Apartemen,1086000000,0,181,Hak Milik (HM)
Apartemen,222000000,0,37,Hak Milik (HM)
Kost,1726200000,379,32,Lainnya
Kost,2633400000,374,253,Hak Guna Bangunan (HGB)
Gedung,4477200000,448,85,Hak Guna Bangunan (HGB)
Ruko,1296000000,154,116,Hak Guna Bangunan (HGB)
Kost,2339400000,393,164,Hak Milik (HM)
Ruko,1444800000,193,108,Hak Milik (HM)
Kost,2486400000,353,239,Lainnya
Apartemen,1002000000,0,167,Hak Milik (HM)
Rumah,1296000000,307,53,Hak Milik (HM)
Gedung,823200000,55,43,Lainnya
Ruko,1320000000,148,127,Hak Milik (HM)
Ruko,979200000,146,58,Hak Guna Bangunan (HGB)
Gedung,4040400000,372,109,Hak Guna Bangunan (HGB)
Apartemen,1098000000,0,183,Hak Milik (HM)
Rumah,853200000,194,43,Hak Guna Bangunan (HGB)
Kost,672000000,116,44,Lainnya
Gedung,764400000,57,34,Lainnya
Gedung,2184000000,160,100,Lainnya
Apartemen,1074000000,0,179,Lainnya
Apartemen,558000000,0,93,Hak Guna Bangunan (HGB)
Apartemen,768000000,0,128,Hak Guna Bangunan (HGB)
Ruko,2222400000,322,141,Hak Guna Bangunan (HGB)
Ruko,609600000,96,31,Hak Guna Bangunan (HGB)
Gedung,3939600000,331,138,Lainnya
Rumah,486000000,85,50,Hak Milik (HM)
Apartemen,1158000000,0,193,Lainnya
Ruko,1694400000,323,30,Hak Milik (HM)
Gedung,4989600000,382,212,Hak Milik (HM)
Gedung,6703200000,455,343,Hak Guna Bangunan (HGB)
Kost,743400000,89,88,Lainnya
Apartemen,744000000,0,124,Hak Milik (HM)
Gedung,4998000000,367,228,Lainnya
Kost,2940000000,396,304,Hak Milik (HM)
Apartemen,768000000,0,128,Hak Milik (HM)
Ruko,4142400000,478,385,Hak Milik (HM)
Gedung,4561200000,487,56,Hak Milik (HM)
Gedung,4796400000,486,85,Lainnya
Rumah,2836800000,436,352,Hak Guna Bangunan (HGB)
Gedung,1898400000,132,94,Hak Guna Bangunan (HGB)
Rumah,2692800000,387,361,Hak Guna Bangunan (HGB)
Kost,470400000,71,41,Hak Milik (HM)
Apartemen,516000000,0,86,Lainnya
Rumah,1000800000,227,51,Hak Milik (HM)
Kost,1419600000,213,125,Hak Milik (HM)
Apartemen,570000000,0,95,Hak Milik (HM)
Apartemen,324000000,0,54,Lainnya
Gedung,3897600000,405,59,Hak Guna Bangunan (HGB)
Rumah,752400000,132,77,Hak Milik (HM)
Gedung,5451600000,423,226,Lainnya
Kost,3578400000,455,397,Lainnya
Rumah,2754000000,470,295,Hak Milik (HM)
Apartemen,630000000,0,105,Hak Milik (HM)
Rumah,3218400000,482,412,Hak Milik (HM)
Ruko,1104000000,132,98,Hak Guna Bangunan (HGB)
Kost,2129400000,467,40,Hak Guna Bangunan (HGB)
Rumah,1242000000,260,85,Hak Milik (HM)
Apartemen,780000000,0,130,Hak Milik (HM)
Ruko,2688000000,428,132,Lainnya
Ruko,2913600000,422,185,Hak Milik (HM)
Ruko,1425600000,195,102,Lainnya
Kost,2083200000,439,57,Hak Guna Bangunan (HGB)
Rumah,1533600000,264,162,Hak Guna Bangunan (HGB)
Apartemen,648000000,0,108,Hak Guna Bangunan (HGB)
Gedung,6367200000,424,334,Hak Guna Bangunan (HGB)
Gedung,4401600000,335,189,Hak Milik (HM)
Ruko,1161600000,137,105,Hak Guna Bangunan (HGB)
Rumah,2199600000,367,244,Hak Milik (HM)
Kost,575400000,81,56,Hak Milik (HM)
Apartemen,402000000,0,67,Hak Milik (HM)
Kost,911400000,171,46,Hak Milik (HM)
Rumah,1699200000,277,195,Hak Guna Bangunan (HGB)
Kost,2532600000,453,150,Lainnya
Apartemen,1068000000,0,178,Lainnya
Rumah,2415600000,427,244,Hak Milik (HM)
Apartemen,1158000000,0,193,Hak Guna Bangunan (HGB)
Apartemen,984000000,0,164,Lainnya
Ruko,1416000000,259,36,Hak Guna Bangunan (HGB)
Ruko,1819200000,283,96,Hak Guna Bangunan (HGB)
Kost,1050000000,125,125,Hak Milik (HM)
Apartemen,210000000,0,35,Lainnya
Ruko,1488000000,173,137,Hak Guna Bangunan (HGB)
Kost,940800000,134,90,Hak Guna Bangunan (HGB)
Gedung,1503600000,133,46,Hak Guna Bangunan (HGB)
Ruko,3436800000,433,283,Hak Guna Bangunan (HGB)
Kost,1499400000,229,128,Hak Guna Bangunan (HGB)
Apartemen,774000000,0,129,Lainnya
Ruko,2553600000,310,222,Hak Guna Bangunan (HGB)
Gedung,6350400000,451,305,Lainnya
Kost,646800000,110,44,Hak Milik (HM)
Apartemen,546000000,0,91,Hak Milik (HM)
Rumah,2214000000,484,131,Lainnya
Apartemen,402000000,0,67,Hak Guna Bangunan (HGB)
Apartemen,870000000,0,145,Hak Guna Bangunan (HGB)
Gedung,1503600000,123,56,Hak Milik (HM)
Kost,2087400000,367,130,Hak Guna Bangunan (HGB)
Apartemen,558000000,0,93,Hak Guna Bangunan (HGB)
Ruko,4046400000,444,399,Hak Guna Bangunan (HGB)
Rumah,428400000,69,50,Hak Milik (HM)
Kost,995400000,157,80,Lainnya
Kost,1050000000,144,106,Hak Milik (HM)
Ruko,1334400000,213,65,Lainnya
Gedung,6661200000,481,312,Hak Milik (HM)
Rumah,1857600000,452,64,Hak Milik (HM)
Kost,3259200000,457,319,Lainnya
Kost,2179800000,442,77,Hak Milik (HM)
Kost,1621200000,307,79,Lainnya
Kost,3435600000,474,344,Hak Milik (HM)
Rumah,2170800000,460,143,Lainnya
Apartemen,270000000,0,45,Hak Milik (HM)
Ruko,1939200000,335,69,Hak Milik (HM)
Kost,3305400000,426,361,Hak Milik (HM)
Ruko,801600000,110,57,Lainnya
Apartemen,240000000,0,40,Hak Guna Bangunan (HGB)
Kost,1638000000,317,73,Hak Milik (HM)
Rumah,1447200000,207,195,Lainnya
Gedung,1419600000,125,44,Hak Guna Bangunan (HGB)
Ruko,628800000,74,57,Lainnya
Apartemen,840000000,0,140,Hak Guna Bangunan (HGB)
Ruko,1771200000,186,183,Lainnya
Gedung,1839600000,183,36,Hak Milik (HM)
Ruko,1488000000,241,69,Lainnya
Gedung,4166400000,263,233,Lainnya
Gedung,4720800000,474,88,Hak Guna Bangunan (HGB)
Kost,1806000000,226,204,Hak Guna Bangunan (HGB)
Rumah,1990800000,347,206,Hak Milik (HM)
Kost,1134000000,139,131,Lainnya
Gedung,6132000000,496,234,Hak Guna Bangunan (HGB)
Rumah,518400000,106,38,Hak Milik (HM)
Kost,1331400000,195,122,Hak Guna Bangunan (HGB)
Ruko,2692800000,480,81,Lainnya
Ruko,1872000000,217,173,Hak Guna Bangunan (HGB)
Rumah,1260000000,216,134,Hak Milik (HM)
Apartemen,888000000,0,148,Hak Guna Bangunan (HGB)
Gedung,1411200000,122,46,Hak Guna Bangunan (HGB)
Kost,1503600000,203,155,Hak Milik (HM)
Rumah,2455200000,469,213,Hak Guna Bangunan (HGB)
Ruko,3076800000,425,216,Hak Milik (HM)
Kost,2877000000,370,315,Hak Guna Bangunan (HGB)
Rumah,450000000,73,52,Lainnya
Ruko,1051200000,174,45,Lainnya
Ruko,4401600000,492,425,Hak Guna Bangunan (HGB)
Kost,2028600000,426,57,Hak Guna Bangunan (HGB)
Gedung,3469200000,226,187,Lainnya
Kost,2662800000,428,206,Lainnya
Ruko,729600000,84,68,Lainnya
Apartemen,648000000,0,108,Lainnya
Ruko,1065600000,133,89,Hak Guna Bangunan (HGB)
Gedung,3166800000,209,168,Hak Guna Bangunan (HGB)
Ruko,2174400000,321,132,Lainnya
Ruko,1152000000,146,94,Hak Milik (HM)
Ruko,3302400000,401,287,Hak Guna Bangunan (HGB)
Apartemen,732000000,0,122,Lainnya
Apartemen,666000000,0,111,Lainnya
Rumah,2170800000,382,221,Lainnya
Kost,1176000000,217,63,Hak Guna Bangunan (HGB)
Rumah,1375200000,233,149,Lainnya
Kost,789600000,152,36,Lainnya
Rumah,918000000,200,55,Hak Milik (HM)
Apartemen,510000000,0,85,Lainnya
Rumah,2127600000,348,243,Hak Milik (HM)
Rumah,1681200000,278,189,Hak Guna Bangunan (HGB)
Apartemen,354000000,0,59,Hak Guna Bangunan (HGB)
Ruko,3028800000,428,203,Hak Milik (HM)
Gedung,1974000000,138,97,Lainnya
Rumah,1202400000,200,134,Hak Milik (HM)
Ruko,3292800000,497,189,Hak Guna Bangunan (HGB)
Apartemen,942000000,0,157,Hak Milik (HM)
Gedung,2251200000,138,130,Hak Milik (HM)
Ruko,571200000,84,35,Lainnya
Rumah,1036800000,199,89,Lainnya
Rumah,1314000000,335,30,Hak Milik (HM)
Kost,1134000000,144,126,Hak Milik (HM)
Apartemen,438000000,0,73,Hak Guna Bangunan (HGB)
Ruko,2227200000,434,30,Lainnya
Kost,1243200000,156,140,Hak Milik (HM)
Ruko,3590400000,444,304,Lainnya
Gedung,2007600000,154,85,Lainnya
Kost,2226000000,295,235,Hak Guna Bangunan (HGB)
Rumah,1429200000,205,192,Hak Guna Bangunan (HGB)
Rumah,752400000,131,78,Hak Milik (HM)
Rumah,453600000,88,38,Hak Milik (HM)
Apartemen,570000000,0,95,Hak Milik (HM)
Kost,1436400000,212,130,Hak Guna Bangunan (HGB)
Gedung,1402800000,107,60,Hak Guna Bangunan (HGB)
Rumah,1998000000,300,255,Lainnya
Kost,2431800000,292,287,Hak Milik (HM)
Kost,2507400000,354,243,Lainnya
Kost,516600000,76,47,Hak Guna Bangunan (HGB)
Rumah,2336400000,451,198,Hak Milik (HM)
Apartemen,276000000,0,46,Lainnya
Apartemen,450000000,0,75,Hak Guna Bangunan (HGB)
Gedung,882000000,56,49,Hak Milik (HM)
Kost,1982400000,355,117,Lainnya
Rumah,1173600000,209,117,Lainnya
Gedung,3780000000,263,187,Hak Milik (HM)
Gedung,1218000000,86,59,Hak Milik (HM)
Gedung,1075200000,91,37,Hak Milik (HM)
Apartemen,912000000,0,152,Hak Guna Bangunan (HGB)
Ruko,2164800000,296,155,Lainnya
Rumah,1098000000,245,60,Hak Milik (HM)
Ruko,734400000,93,60,Hak Guna Bangunan (HGB)
Rumah,1695600000,370,101,Hak Milik (HM)
Ruko,3835200000,474,325,Lainnya
Gedung,5384400000,323,318,Lainnya
Apartemen,918000000,0,153,Hak Guna Bangunan (HGB)
Rumah,2163600000,494,107,Lainnya
Rumah,597600000,96,70,Lainnya
Rumah,820800000,166,62,Lainnya
Gedung,4914000000,478,107,Hak Guna Bangunan (HGB)
Kost,2931600000,453,245,Hak Milik (HM)
Ruko,2356800000,326,165,Hak Guna Bangunan (HGB)
Ruko,729600000,87,65,Hak Guna Bangunan (HGB)
Gedung,6711600000,420,379,Hak Guna Bangunan (HGB)
Ruko,2448000000,341,169,Hak Guna Bangunan (HGB)
Ruko,1881600000,211,181,Hak Milik (HM)
Gedung,5964000000,425,285,Lainnya
Gedung,5426400000,483,163,Hak Guna Bangunan (HGB)
Gedung,4401600000,340,184,Hak Guna Bangunan (HGB)
Ruko,1339200000,226,53,Lainnya
Kost,1247400000,175,122,Hak Guna Bangunan (HGB)
Ruko,2414400000,460,43,Hak Guna Bangunan (HGB)
Ruko,1416000000,158,137,Hak Guna Bangunan (HGB)
Gedung,1159200000,81,57,Lainnya
Kost,1331400000,221,96,Hak Guna Bangunan (HGB)
Rumah,1864800000,309,209,Hak Guna Bangunan (HGB)
Rumah,1382400000,239,145,Hak Guna Bangunan (HGB)
Rumah,2415600000,471,200,Hak Milik (HM)
Ruko,1435200000,192,107,Hak Milik (HM)
Rumah,2451600000,499,182,Hak Guna Bangunan (HGB)
Kost,3544800000,495,349,Hak Milik (HM)
Ruko,2755200000,401,173,Lainnya
